Time,delta,alpha1,alpha2,beta1,beta2,theta,gamma1,gamma2,BCI,GSR kOhm,GSR Sie,PPG,BPM,lookdown time,breath rate,breath reg,height,event,label
40.85096,1928047,285096,165683,284878,134311,655390,157585,49098,92.99213,176.7050068,5.659149213,1342.857143,160,0,62,0.6615087,0,,5.659149213
41.82455,299191,32215,39208,25102,41330,46977,46909,13329,93.01205,174.035984,,614.6520147,137,0,-1,-1,0,,5.74593815
42.83368,554543,58329,137966,49565,17672,85500,7129,3458,34.25304,177.8279619,,1378.754579,140,0,56,1.328207,0,,5.623412592
43.82695,2086938,152220,174691,60080,33998,428041,10382,15073,28.77786,173.4196547,,1112.087912,187,0,45,1.282157,0,,5.766359076
